MJD	CSP_B_old	CSP_B_old_err	CSP_V9844	CSP_V9844_err	CSP_g_old	CSP_g_old_err	CSP_i_old	CSP_i_old_err	CSP_r_old	CSP_r_old_err	CSP_u_old	CSP_u_old_err
54149.004531252525	1.2034648021375665e-15	6.077254100973228e-16	1.71678785948017e-15	4.61054713189955e-16	1.4582547405108627e-15	9.883223257982746e-16	1.1583092469008539e-15	2.5252337923153124e-16	1.7691322768648863e-15	4.931488020832144e-16	nan	nan
54149.05453125253	1.2026030823993201e-15	6.054676556799491e-16	1.7151562993926618e-15	4.593045501086507e-16	1.4566207636650313e-15	9.914421651951236e-16	1.157030196820871e-15	2.5332868815453077e-16	1.766757146988503e-15	4.947273306367452e-16	nan	nan
54149.10453125253	1.2017526698153018e-15	6.030763100853893e-16	1.7135351706751355e-15	4.574519885659797e-16	1.4549958512885983e-15	9.944547995536035e-16	1.1557600054252992e-15	2.541059285584053e-16	1.764395134520334e-15	4.962511882858552e-16	nan	nan
54149.154531252534	1.2009135698985233e-15	6.00551757758622e-16	1.7119243691390814e-15	4.554973596599869e-16	1.4533800456792137e-15	9.973601819127787e-16	1.154498583744847e-15	2.548550735771898e-16	1.7620461833619526e-15	4.977203249139809e-16	nan	nan
54149.20453125254	1.2000857875640252e-15	5.97894398232146e-16	1.7103237903893909e-15	4.534410074546835e-16	1.4517733883779832e-15	1.000158270456544e-15	1.1532458428687762e-15	2.55576098324114e-16	1.7597102374652271e-15	4.991346940926428e-16	nan	nan
54149.25453125254	1.1992693271301883e-15	5.951046463052343e-16	1.708733329821003e-15	4.512832890970935e-16	1.4501759201734283e-15	1.0028490284895443e-15	1.1520016939431935e-15	2.56268979886212e-16	1.7573872408314356e-15	5.00494253071244e-16	nan	nan
54149.30453125254	1.1984641923199348e-15	5.921829322314625e-16	1.7071528826155149e-15	4.490245749394276e-16	1.4485876811053315e-15	1.0054324244149975e-15	1.1507660481693994e-15	2.569336973194186e-16	1.7550771375100702e-15	5.017989627677046e-16	nan	nan
54149.354531252546	1.1976703862618904e-15	5.891297019148384e-16	1.705582343737923e-15	4.466652486667343e-16	1.4470087104685968e-15	1.007908431714429e-15	1.1495388168021635e-15	2.5757023164408397e-16	1.7527798715978988e-15	5.030487877599519e-16	nan	nan
54149.40453125255	1.1968879114915439e-15	5.859454171147889e-16	1.7040216079332066e-15	4.442057074299576e-16	1.4454390468169778e-15	1.0102770289293097e-15	1.1483199111481124e-15	2.5817856584093297e-16	1.7504953872378499e-15	5.042436962782196e-16	nan	nan
54149.45453125255	1.1961167699522844e-15	5.826305556602657e-16	1.7024705697230038e-15	4.416463619848251e-16	1.4438787279668253e-15	1.012538199644559e-15	1.1471092425639326e-15	2.58758684847442e-16	1.7482236286181145e-15	5.053836601981496e-16	nan	nan
54149.504531252554	1.1953569629964265e-15	5.791856116732597e-16	1.700929123402257e-15	4.389876368364965e-16	1.4423277910007538e-15	1.014691932473955e-15	1.1459067224548059e-15	2.593105755546864e-16	1.745964539970924e-15	5.0646865503479e-16	nan	nan
54149.55453125256	1.1946084913861733e-15	5.756110958020982e-16	1.6993971630357376e-15	4.362299703904303e-16	1.4407862722712197e-15	1.0167382210473864e-15	1.1447122622726335e-15	2.5983422680456646e-16	1.7437180655716205e-15	5.074986599372674e-16	nan	nan
54149.60453125256	1.1938713552945188e-15	5.719075354648259e-16	1.6978745824547013e-15	4.3337381510943387e-16	1.4392542074041371e-15	1.0186770640000318e-15	1.1435257735144042e-15	2.6032962938748165e-16	1.7414841497375902e-15	5.084736576843718e-16	nan	nan
54149.65453125256	1.1931455543061307e-15	5.680754751030431e-16	1.6963612752534774e-15	4.3041963767732264e-16	1.4377316313023485e-15	1.0205084649633418e-15	1.1423471677205103e-15	2.607967760403868e-16	1.7392627368272266e-15	5.09393634680868e-16	nan	nan
54149.704531252566	1.1924310874181144e-15	5.641154764467142e-16	1.6948571347860647e-15	4.2736791916932765e-16	1.4362185781490783e-15	1.0222324325579564e-15	1.1411763564730053e-15	2.612356614453044e-16	1.7370537712389307e-15	5.102585809546096e-16	nan	nan
54149.75453125257	1.1917279530408118e-15	5.600281187902562e-16	1.6933620541626403e-15	4.2421915522958433e-16	1.4347150814113797e-15	1.023848980388415e-15	1.1400132513940146e-15	2.6164628222818304e-16	1.7348571974099185e-15	5.11068490154448e-16	nan	nan
54149.80453125257	1.1910361489984691e-15	5.558139992804619e-16	1.6918759262461627e-15	4.209738562559035e-16	1.4332211738434388e-15	1.0253581270398059e-15	1.1388577641439504e-15	2.620286369582383e-16	1.7326729598153534e-15	5.118233595488484e-16	nan	nan
54149.854531252575	1.1903556725298916e-15	5.514737332168202e-16	1.69039864364884e-15	4.176325475922899e-16	1.4317368874899068e-15	1.0267598960762198e-15	1.1377098064199214e-15	2.6238272614759613e-16	1.7305010029671877e-15	5.125231900254274e-16	nan	nan
54149.90453125258	1.189686520289054e-15	5.470079543647142e-16	1.688930098728767e-15	4.1419576972933993e-16	1.4302622536891617e-15	1.0280543160411063e-15	1.1365692899539538e-15	2.627085522514333e-16	1.7283412714131697e-15	5.131679860910672e-16	nan	nan
54149.95453125258	1.1890286883456362e-15	5.424173152822317e-16	1.6874701835863368e-15	4.106640785131589e-16	1.4287973030764843e-15	1.0292414204594826e-15	1.1354361265114317e-15	2.630061196684464e-16	1.7261937097357701e-15	5.137577558729803e-16	nan	nan
54150.00453125258	1.1883821721855084e-15	5.377024876611589e-16	1.6860187900607996e-15	4.070380453629415e-16	1.4273420655872169e-15	1.0303212478420072e-15	1.1343102278892528e-15	2.6327543474173946e-16	1.72405826255111e-15	5.142925111203832e-16	nan	nan
54150.05453125259	1.1877469667111817e-15	5.328641626830468e-16	1.684575809726697e-15	4.033182574978138e-16	1.425896570459883e-15	1.0312938416909659e-15	1.1331915059143167e-15	2.635165057601393e-16	1.7219348745079566e-15	5.1477226720708e-16	nan	nan
54150.10453125259	1.1871230662421986e-15	5.279030513910148e-16	1.6831411338904413e-15	3.9950531817339234e-16	1.4244608462392052e-15	1.0321592505080717e-15	1.1320798724416887e-15	2.6372934295981634e-16	1.7198234902866641e-15	5.151970431346943e-16	nan	nan
54150.15453125259	1.1865104645154467e-15	5.228198850783762e-16	1.6817146535866681e-15	3.955998469286342e-16	1.4230349207791363e-15	1.032917527804225e-15	1.130975239353009e-15	2.639139585264028e-16	1.7177240545981313e-15	5.155668615367063e-16	nan	nan
54150.204531252595	1.185909154685487e-15	5.176154156949328e-16	1.6802962595747389e-15	3.9160247984339947e-16	1.4216188212457938e-15	1.033568732111101e-15	1.1298775185547753e-15	2.640703665974438e-16	1.7156365121826393e-15	5.158817486833074e-16	nan	nan
