MJD	LT_IOO_B	LT_IOO_B_err	LT_IOO_V	LT_IOO_V_err	LT_IOO_g	LT_IOO_g_err	LT_IOO_i	LT_IOO_i_err	LT_IOO_r	LT_IOO_r_err
58057.92500000463	4.433650744137122e-16	3.893365912755948e-17	5.325581693155181e-16	2.1886833161242723e-17	4.861554864928101e-16	3.05630864377982e-17	2.284505797660575e-16	9.016923719285934e-18	3.7082246878972677e-16	1.8015599373205596e-17
58057.97500000463	4.44321139975502e-16	3.755914803966332e-17	5.322890561701528e-16	2.120570978570915e-17	4.863326536485915e-16	2.9509850927580906e-17	2.282399990060592e-16	8.915299458190813e-18	3.708046726462888e-16	1.7524638400874158e-17
58058.025000004636	4.452703340467595e-16	3.611593296812426e-17	5.320196267611756e-16	2.049725136308518e-17	4.86506627934983e-16	2.840806167308658e-17	2.2802926405143146e-16	8.812800117222438e-18	3.707859778590077e-16	1.701723577476857e-17
58058.07500000464	4.462119363064528e-16	3.460498650682164e-17	5.317497340962804e-16	1.976310027104719e-17	4.866771166149615e-16	2.725894615881537e-17	2.2781831868752264e-16	8.710321005789377e-18	3.707661474872262e-16	1.649520021241246e-17
58058.12500000464	4.471452261410481e-16	3.302752532677495e-17	5.314792311569194e-16	1.900526837334669e-17	4.868438268061735e-16	2.6064040493531494e-17	2.2760710668766944e-16	8.608842583746928e-18	3.707449445458266e-16	1.5960692205616983e-17
58058.175000004645	4.480694826245462e-16	3.1385085161517527e-17	5.312079708964084e-16	1.8226234030817305e-17	4.870064654741576e-16	2.482528242196548e-17	2.273955718124736e-16	8.509434094609363e-18	3.707221320013384e-16	1.541629911165555e-17
58058.22500000465	4.489839844984991e-16	2.967962835310727e-17	5.309358062381963e-16	1.742907005235248e-17	4.871647394255524e-16	2.3545141805903477e-17	2.271836578090966e-16	8.413255975425699e-18	3.706974727679498e-16	1.4865127373266492e-17
58058.27500000465	4.49888010152023e-16	2.7913701373121367e-17	5.306625900739649e-16	1.661761314127587e-17	4.873183553013032e-16	2.2226806650794007e-17	2.2697130841054593e-16	8.32156052638319e-18	3.7067072970361286e-16	1.4310914734773513e-17
58058.325000004654	4.507808376017934e-16	2.6090670981576554e-17	5.303881752618786e-16	1.579668864746321e-17	4.87467019569868e-16	2.087445288585355e-17	2.2675846733496906e-16	8.235690240226815e-18	3.7064166560609346e-16	1.3758164679157113e-17
58058.37500000466	4.5166174447209e-16	2.4215087538387647e-17	5.301124146247253e-16	1.4972407915267265e-17	4.876104385204336e-16	1.9493642546925675e-17	2.2654507828493835e-16	8.15707313130827e-18	3.706100432090279e-16	1.3212303418220119e-17
58058.42500000466	4.525300079747293e-16	2.2293260051901035e-17	5.298351609481176e-16	1.4152558007838654e-17	4.877483182560906e-16	1.8091921788800615e-17	2.2633108494673554e-16	8.087214386572234e-18	3.705756251779841e-16	1.2679855639659788e-17
58058.47500000466	4.533849048890761e-16	2.033419501131397e-17	5.295562669786665e-16	1.3347101955619554e-17	4.878803646870388e-16	1.6679733314314984e-17	2.261164309896536e-16	8.027683710671292e-18	3.705381741065159e-16	1.2168627407384744e-17
58058.525000004665	4.54225711542031e-16	1.8351180453695507e-17	5.292755854221889e-16	1.2568794922800825e-17	4.880062835237849e-16	1.5271824592612563e-17	2.2590106006526886e-16	7.980097881700996e-18	3.7049745251225833e-16	1.168787139066327e-17
58058.57500000467	4.550517037879407e-16	1.63645484613237e-17	5.289929689418256e-16	1.1833883986139774e-17	4.881257802703187e-16	1.388942497450746e-17	2.2568491580673955e-16	7.94609829341992e-18	3.704532228329189e-16	1.1248389705872505e-17
58058.62500000467	4.558621569886026e-16	1.4406631032154855e-17	5.287082701563078e-16	1.116277386704849e-17	4.882385602173109e-16	1.2563546636345234e-17	2.2546794182809055e-16	7.927323644042915e-18	3.704052474224015e-16	1.0862504369664434e-17
58058.675000004674	4.56656345993193e-16	1.2530751570012794e-17	5.284213416380586e-16	1.0580382922267623e-17	4.883443284352704e-16	1.1339664127640459e-17	2.252500817234995e-16	7.925378426834074e-18	3.7035328854681575e-16	1.0543802206410868e-17
58058.72500000468	4.574335451181688e-16	1.0826917068725278e-17	5.281320359114202e-16	1.0115690731423224e-17	4.884427897677346e-16	1.0283181239176947e-17	2.250312790665846e-16	7.941798440105232e-18	3.7029710838055243e-16	1.0306557980905861e-17
58058.77500000468	4.581930281271937e-16	9.444354820453589e-18	5.278402054508144e-16	9.799816200926851e-18	4.885336488244485e-16	9.48227685464148e-18	2.2481147740969666e-16	7.978015086615461e-18	3.702364690023338e-16	1.0164783985942625e-17
58058.82500000468	4.58934068211108e-16	8.602166134622418e-18	5.275457026789336e-16	9.6621887673447e-18	4.886166099745132e-16	9.039435204781975e-18	2.2459062028319683e-16	8.035320673375327e-18	3.7017113239125434e-16	1.0130967433648445e-17
58058.875000004686	4.596559419288834e-16	8.526213002017498e-18	5.272483807295515e-16	9.72527952062028e-18	4.886913789650425e-16	9.042072655651978e-18	2.2436865149701457e-16	8.114831228140339e-18	3.701008616600469e-16	1.0214688440069117e-17
