MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	CSP_Y_new	CSP_Y_new_err	CSP_g_old	CSP_g_old_err	CSP_i_old	CSP_i_old_err	CSP_r_old	CSP_r_old_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56281.17000000017	1.4666711734993726e-15	1.9613605119400322e-16	3.4810291898849044e-16	6.217241004761463e-17	6.664947008647872e-16	1.013941234872487e-16	1.2487079110502025e-15	2.0671307412039756e-16	nan	nan	1.5496765929707845e-15	2.489290716700216e-16	4.1991840916734594e-16	7.910371382002694e-17	9.879823185560837e-16	3.82369384983275e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56281.220000000176	1.5476707193273342e-15	1.9994627706082842e-16	3.639221733934246e-16	6.334272594567749e-17	6.9606245334906e-16	1.0329077230229592e-16	1.2831295956439887e-15	2.0546453651056945e-16	nan	nan	1.6149984395926639e-15	2.540194633486074e-16	4.3875235322808356e-16	8.084745491706837e-17	1.0253960255580483e-15	3.732650370762597e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56281.27000000018	1.6291934821856797e-15	2.0269103552877401e-16	3.7983533922961986e-16	6.434343610069375e-17	7.25783051202371e-16	1.0490183057301741e-16	1.3178305593065767e-15	2.0394627631169811e-16	nan	nan	1.680883057829493e-15	2.588726088137262e-16	4.577675239740568e-16	8.24934332372195e-17	1.063047148317008e-15	3.643319902686203e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56281.32000000018	1.7112366915393169e-15	2.0443733335245006e-16	3.958414615858171e-16	6.51786209780842e-17	7.5565524005222e-16	1.0623516881963968e-16	1.352813773100737e-15	2.021741258742995e-16	nan	nan	1.747341457837414e-15	2.6348752212201387e-16	4.769664453747149e-16	8.404241847786666e-17	1.100936866885772e-15	3.555779647705025e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56281.370000000185	1.793797592443592e-15	2.052605782843421e-16	4.11939588717632e-16	6.585252973237207e-17	7.856777689978346e-16	1.072990646844706e-16	1.3880822144109724e-15	2.0016438534241657e-16	nan	nan	1.814384659476462e-15	2.6786552673488023e-16	4.963516475160558e-16	8.549576377460325e-17	1.139066366386593e-15	3.4701102917906387e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56281.42000000019	1.876873445442829e-15	2.0524515110232821e-16	4.281287720087868e-16	6.636956127262204e-17	8.158493905759984e-16	1.0810217492249842e-16	1.4236388670077719e-15	1.9793376393042282e-16	nan	nan	1.882023692495371e-15	2.7200998573939273e-16	5.159256666810013e-16	8.685534203184979e-17	1.1774368370326301e-15	3.3863959915408423e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56281.47000000019	1.960461526464102e-15	2.0448503693386668e-16	4.444080659326896e-16	6.673424163677889e-17	8.461688607270413e-16	1.0865350313127676e-16	1.4594867211125287e-15	1.9549930096181262e-16	nan	nan	1.9502695967142844e-15	2.7592607856497533e-16	5.356910454301298e-16	8.812349478436723e-17	1.2160494741491808e-15	3.304724308426813e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56281.52000000019	2.0445591267163625e-15	2.0308443497960637e-16	4.607765280138843e-16	6.695119646853898e-17	8.766349387621244e-16	1.0896236083101533e-16	1.4956287734597998e-15	1.928782620943258e-16	nan	nan	2.0191334222100663e-15	2.796206143853841e-16	5.556503326824678e-16	8.93029906594054e-17	1.2549054781951893e-15	3.225186078464464e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56281.570000000196	2.1291635525862515e-15	2.0115823374157035e-16	4.772332187896766e-16	6.702511724106117e-17	9.072463873293457e-16	1.0903831934915017e-16	1.5320680273634796e-15	1.90088005378971e-16	nan	nan	2.088626229499903e-15	2.831018741470076e-16	5.758060837964026e-16	9.039699112584644e-17	1.2940060547849197e-15	3.147875203800632e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56281.6200000002	2.214272125535945e-15	1.9883219094794594e-16	4.937773207195906e-16	6.696064631246011e-17	9.380019723806318e-16	1.0889114967589132e-16	1.568807492780241e-15	1.8714581095723546e-16	nan	nan	2.158759089725861e-15	2.863794746006392e-16	5.961608606509148e-16	9.140902167504706e-17	1.3333524147095223e-15	3.072888351417698e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56281.6700000002	2.299882182001283e-15	1.9624259528138588e-16	5.104126433098491e-16	6.67595536503535e-17	9.689004631378668e-16	1.0853074703563485e-16	1.6058501863737895e-15	1.8406866729393944e-16	nan	nan	2.2295430848395545e-15	2.894642488156013e-16	6.1671723172676465e-16	9.234294691766382e-17	1.3729457739587534e-15	3.0003245431662007e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56281.720000000205	2.3859910732894456e-15	1.935351180671016e-16	5.271490060160497e-16	6.641988474034978e-17	9.999414966659231e-16	1.079665040657144e-16	1.6432027764002358e-15	1.8086888457963313e-16	nan	nan	2.3009893077866997e-15	2.923681385455338e-16	6.37477772188033e-16	9.320294833364046e-17	1.4127873537427552e-15	2.930284620843968e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56281.77000000021	2.472596165478251e-15	1.9086250407361103e-16	5.439966331543873e-16	6.593947609811649e-17	1.0311376503353399e-15	1.0719978537685834e-16	1.680891652093349e-15	1.7753571864418536e-16	nan	nan	2.3731088626918398e-15	2.9510409450176813e-16	6.58445063963701e-16	9.399350359889616e-17	1.4528783805140765e-15	2.862870570268559e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56281.82000000021	2.559694839314042e-15	1.8838073247068554e-16	5.609657528089086e-16	6.531626592886697e-17	1.0625114640221256e-15	1.0622580615426994e-16	1.7189498448859965e-15	1.7405033332926607e-16	nan	nan	2.445912865043207e-15	2.9768598115900864e-16	6.796216958294745e-16	9.47193665516693e-17	1.4932200859895746e-15	2.798184689492744e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56281.87000000021	2.647284490111677e-15	1.8624334586891785e-16	5.780665971878393e-16	6.454835255859872e-17	1.0940857378245338e-15	1.0503976601704059e-16	1.7574103994885529e-15	1.7039362297524268e-16	nan	nan	2.5194124418782865e-15	3.0012848316528514e-16	7.010102634897708e-16	9.538554696520254e-17	1.5338137421322763e-15	2.736327997867923e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56281.92000000022	2.7353673562421686e-15	1.8457922081900834e-16	5.953094029798396e-16	6.36340507679623e-17	1.1258832764168272e-15	1.0363716788861136e-16	1.7963063696459526e-15	1.665465220816355e-16	nan	nan	2.593618731968373e-15	3.0244701080908445e-16	7.226133696598376e-16	9.599728937367242e-17	1.5746633310737052e-15	2.677353976847445e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56281.97000000022	2.823995539189822e-15	1.8334891268548502e-16	6.127044117105081e-16	6.257194881374638e-17	1.157926889582141e-15	1.0201397439564517e-16	1.835670818892263e-15	1.624902862547092e-16	nan	nan	2.668542886004581e-15	3.0465760233942977e-16	7.444336241481273e-16	9.6560050263462e-17	1.6157774252624206e-15	2.6212360786215786e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56282.02000000022	2.9132505645134153e-15	1.8240874234024627e-16	6.302618700989581e-16	6.1360969284718e-17	1.1902393927455218e-15	1.0016676680025757e-16	1.8755368213072493e-15	1.5820675389202218e-16	nan	nan	2.744195981724475e-15	3.0677650693297794e-16	7.664736438178331e-16	9.70794722101311e-17	1.6571650468393942e-15	2.567937788436018e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56282.070000000225	3.0032143564407418e-15	1.8160722196086853e-16	6.479920304146076e-16	6.000043759144828e-17	1.222843607506989e-15	9.809291493927461e-17	1.915937462271762e-15	1.5367859431100373e-16	nan	nan	2.8205871528017327e-15	3.0881317132023264e-16	7.887358923590434e-16	9.756031187194121e-17	1.698835223710381e-15	2.5174204058332083e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56282.12000000023	3.0939688602689218e-15	1.8079401413376916e-16	6.659051508339573e-16	5.849016294875316e-17	1.2557623621751848e-15	9.579076863506416e-17	1.956905839225335e-15	1.4888955038901847e-16	nan	nan	2.8977235889975043e-15	3.1077021738906494e-16	8.11222364096663e-16	9.800436431934386e-17	1.7407969897372955e-15	2.4696433608194835e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56282.17000000023	3.1855960448585993e-15	1.7982625926752499e-16	6.840114957976088e-16	5.6830538359616e-17	1.2890184922999505e-15	9.325988411856308e-17	1.9984750624208333e-15	1.4382468694687677e-16	nan	nan	2.9756124075719096e-15	3.1265041044084282e-16	8.339349726182073e-16	9.841301226798578e-17	1.783059384930106e-15	2.4245645678095787e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56282.220000000234	3.278177905129724e-15	1.7857343727664008e-16	7.023213363676129e-16	5.50226686474147e-17	1.322634841206982e-15	9.050130368565432e-17	2.0406782556829395e-15	1.3847066063266274e-16	nan	nan	3.054260738459146e-15	3.144570300182996e-16	8.568756389669961e-16	9.878782524485653e-17	1.825631455638863e-15	2.382140813375815e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
