MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err
56718.510000002396	3.736639642421779e-15	1.0764832761858407e-15	3.778560320494352e-15	1.6462912689112004e-16	4.846449055858771e-15	3.120373649100677e-16	1.8308617970213973e-15	9.029569051071249e-16	5.028617303161162e-15	6.624557283708714e-16
56718.5600000024	3.733158694752055e-15	1.0619686848432802e-15	3.771797466626718e-15	1.6242407876615423e-16	4.838185239873685e-15	3.0808584025979325e-16	1.8273886293580472e-15	8.905377485469033e-16	5.019465674174848e-15	6.534682476797316e-16
56718.6100000024	3.729705606233489e-15	1.0469262041552364e-15	3.765038703547421e-15	1.6014116833400804e-16	4.829981752367903e-15	3.0399357255658295e-16	1.8239049880258387e-15	8.776671531504143e-16	5.010387531519068e-15	6.441514163170463e-16
56718.660000002405	3.726279290261436e-15	1.0313618898458983e-15	3.758284003804842e-15	1.5778141414185375e-16	4.82183749141172e-15	2.9976268988855833e-16	1.820411109281605e-15	8.643498607653445e-16	5.001383278928315e-15	6.345088479970754e-16
56718.71000000241	3.722878657954774e-15	1.0152820977966665e-15	3.751533339558693e-15	1.553458873451224e-16	4.81375135574555e-15	2.953954360827367e-16	1.8169072263295263e-15	8.505908324981573e-16	4.992453320874839e-15	6.245443291566246e-16
56718.76000000241	3.719502618087955e-15	9.986934973838223e-16	3.744786682579088e-15	1.528357143288624e-16	4.8057222447615e-15	2.908941777928635e-16	1.813393569342254e-15	8.363952559587944e-16	4.983598062592154e-15	6.142618255007195e-16
56718.81000000241	3.716150077022861e-15	9.816030864231168e-16	3.738044004247896e-15	1.5025207966655128e-16	4.797749058484091e-15	2.8626141248870335e-16	1.809870365481881e-15	8.217685532632338e-16	4.974817910098544e-15	6.036654893169267e-16
56718.860000002416	3.712819938640254e-15	9.640182079790127e-16	3.731305275558071e-15	1.4759622947179137e-16	4.789830697551351e-15	2.8149977748613575e-16	1.806337838920497e-15	8.067163899055868e-16	4.966113270220767e-15	5.9275966768024195e-16
56718.91000000242	3.7095111042715986e-15	9.459465693486231e-16	3.724570467114529e-15	1.448694752070235e-16	4.781966063196548e-15	2.7661206018480984e-16	1.8027962108607324e-15	7.912446846357079e-16	4.957484550617262e-15	5.815489116960377e-16
56718.96000000242	3.7062224726303345e-15	9.273962635954431e-16	3.717839549133742e-15	1.4207319802940024e-16	4.774154057228507e-15	2.716012097071015e-16	1.799245699556021e-15	7.753596205060241e-16	4.9489321598019495e-15	5.700379869602987e-16
56719.010000002425	3.702952939742607e-15	9.083757940882213e-16	3.711112491444486e-15	1.3920885376735633e-16	4.7663935820135926e-15	2.664703501740085e-16	1.795686520330746e-15	7.590676572881822e-16	4.940456507167516e-15	5.582318854547462e-16
56719.06000000243	3.69970139887859e-15	8.8889410260195e-16	3.70438926348755e-15	1.3627797864429043e-16	4.758683540456234e-15	2.612227958950314e-16	1.7921188856000354e-15	7.423755455039641e-16	4.9320580030091465e-15	5.461358391436148e-16
56719.11000000243	3.696466740483098e-15	8.689606016644378e-16	3.697669834316238e-15	1.3328219588941337e-16	4.751022835980423e-15	2.5586206880643255e-16	1.788543004889483e-15	7.25290342373228e-16	4.923737058547799e-15	5.337553356015033e-16
56719.160000002434	3.693247852106003e-15	8.485852119922044e-16	3.690954172596434e-15	1.3022322340822644e-16	4.7434103725108475e-15	2.5039191855932577e-16	1.7849590848547043e-15	7.078194300539835e-16	4.9154940859539e-15	5.210961360793457e-16
56719.21000000244	3.690043618332329e-15	8.277784060645748e-16	3.684242246606483e-15	1.2710288272450898e-16	4.735845054453968e-15	2.4481634573861916e-16	1.7813673293005735e-15	6.89970536643444e-16	4.9073294983708935e-15	5.081642965171864e-16
56719.26000000244	3.6868529207128634e-15	8.065512591443128e-16	3.677534024237916e-15	1.2392310945636556e-16	4.728325786679505e-15	2.391396287994814e-16	1.777767939200279e-15	6.717517605303356e-16	4.899243709938428e-15	4.94966192141335e-16
