MJD	lascumbres_B	lascumbres_B_err	lascumbres_V	lascumbres_V_err	lascumbres_g'	lascumbres_g'_err	lascumbres_i'	lascumbres_i'_err	lascumbres_r'	lascumbres_r'_err	lascumbres_u'	lascumbres_u'_err
57276.850000000326	2.363450695918385e-15	7.522082570466973e-17	1.6735003249010141e-15	4.88876993175287e-17	1.928642061843347e-15	8.407622714530595e-17	7.061987627935184e-16	3.0396050211541175e-17	1.1592527634817794e-15	5.2637242904549807e-17	2.299233485088634e-15	3.272587604735675e-16
57276.90000000033	2.3881735030818063e-15	7.43545953925156e-17	1.6936066085084393e-15	4.854622444088086e-17	1.9501576082080714e-15	8.376037381779019e-17	7.138822787616341e-16	3.027893454452599e-17	1.1706981840762421e-15	5.245252749423052e-17	2.311878740301941e-15	3.250521687483673e-16
57276.95000000033	2.4129146902426883e-15	7.35852379093209e-17	1.7137771687522823e-15	4.822417616613623e-17	1.9716541749788463e-15	8.341866542101505e-17	7.21573529730224e-16	3.016204750267452e-17	1.182143098127667e-15	5.226617220713339e-17	2.324560932776178e-15	3.22939482114084e-16
57277.000000000335	2.437670113225581e-15	7.291442362831816e-17	1.7340098104332743e-15	4.792175817938669e-17	1.9931292215741887e-15	8.305191872540057e-17	7.292718698593285e-16	3.0044974599656556e-17	1.1935867433042119e-15	5.207782820262368e-17	2.33727336154341e-15	3.209187552765185e-16
57277.05000000034	2.4624334348882983e-15	7.233696657125546e-17	1.7542994640336742e-15	4.76367292707053e-17	2.014580205678496e-15	8.266103217459872e-17	7.36976653371642e-16	2.992731238249693e-17	1.2050283571962283e-15	5.188716365652017e-17	2.350009325330942e-15	3.189879906062614e-16
57277.10000000034	2.487198169852598e-15	7.184684486477259e-17	1.7746408690248037e-15	4.736660247135686e-17	2.0360045831276216e-15	8.224699142424105e-17	7.446872345434387e-16	2.9808669485630917e-17	1.2164671773047494e-15	5.1693864462091134e-17	2.362762122143053e-15	3.1714514402940435e-16
57277.15000000034	2.5119578305555532e-15	7.143774442054811e-17	1.795028765912101e-15	4.7108828162231946e-17	2.0573998077944525e-15	8.181087480077538e-17	7.524029676955864e-16	2.968866760114158e-17	1.2279024410300885e-15	5.1497634886129474e-17	2.375525048842589e-15	3.15388131072355e-16
57277.200000000346	2.5367059268327547e-15	7.110317910291579e-17	1.8154578960976795e-15	4.686082021108286e-17	2.078763331474398e-15	8.135385867264202e-17	7.601232071845736e-16	2.956694236927807e-17	1.2393333856604578e-15	5.129819818352115e-17	2.388291400732612e-15	3.1371483302230997e-16
57277.25000000035	2.561435965501308e-15	7.083660816356799e-17	1.8359230017431443e-15	4.661998064367193e-17	2.1000926037708045e-15	8.087722271771506e-17	7.678473073934689e-16	2.944314419388316e-17	1.2507592483604538e-15	5.109529717366196e-17	2.401054471137792e-15	3.121231031641498e-16
57277.30000000035	2.58614144994266e-15	7.063154777203932e-17	1.8564188256320978e-15	4.638372262361791e-17	2.121385071980284e-15	8.038235506058976e-17	7.755746227230024e-16	2.931693898777625e-17	1.2621792661597163e-15	5.088869478218141e-17	2.4138075509857942e-15	3.1061077305419637e-16
