MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err
53541.475000000486	8.170878033309386e-16	2.6157517127474757e-17	1.7863576593906274e-16	7.197608309200652e-18	nan	nan	nan	nan
53541.52500000049	8.19341010960274e-16	2.6199393887639897e-17	1.7898987368800182e-16	7.201589262594882e-18	nan	nan	nan	nan
53541.57500000049	8.21591670089717e-16	2.6240970010478658e-17	1.793439598916747e-16	7.205812638202537e-18	nan	nan	nan	nan
53541.625000000495	8.2383976377268e-16	2.628224700865483e-17	1.7969802143706182e-16	7.21027340933889e-18	3.324947279820132e-16	2.025073382442157e-17	nan	nan
53541.6750000005	8.260852750561999e-16	2.6323227052971325e-17	1.800520552110915e-16	7.214966631641614e-18	3.3308571116666457e-16	2.0152673782578166e-17	nan	nan
53541.7250000005	8.283281869808689e-16	2.6363912967206458e-17	1.8040605810062169e-16	7.219887444043106e-18	3.3367730849364394e-16	2.0055073394812745e-17	nan	nan
53541.7750000005	8.305684825808103e-16	2.6404308222818292e-17	1.807600269924407e-16	7.225031069664177e-18	3.342695205031479e-16	1.9957935478500226e-17	nan	nan
53541.82500000051	8.328061448836621e-16	2.64444169334183e-17	1.8111395877327312e-16	7.230392816601414e-18	3.3486234773578796e-16	1.986126285424057e-17	nan	nan
53541.87500000051	8.350411569104802e-16	2.648424384898116e-17	1.8146785032976108e-16	7.235968078609383e-18	3.3545579073263223e-16	1.9765058345238715e-17	nan	nan
53541.92500000051	8.372735016757858e-16	2.652379434988883e-17	1.8182169854847607e-16	7.241752335756166e-18	3.3604985003518856e-16	1.9669324776615702e-17	nan	nan
53541.975000000515	8.395031621874306e-16	2.656307444068968e-17	1.82175500315915e-16	7.247741154902583e-18	3.366445261853908e-16	1.9574064974754687e-17	nan	nan
53542.02500000052	8.417301214466394e-16	2.6602090743704914e-17	1.8252925251847933e-16	7.25393019017784e-18	3.3723981972562635e-16	1.9479281766565073e-17	nan	nan
53542.07500000052	8.439543624479297e-16	2.6640850492319328e-17	1.8288295204249616e-16	7.260315183347683e-18	3.3783573119870734e-16	1.9384977978760374e-17	nan	nan
53542.125000000524	8.461758681790538e-16	2.6679361524071896e-17	1.8323659577419792e-16	7.266891964060419e-18	3.384322611478982e-16	1.929115643709968e-17	nan	nan
53542.17500000053	8.483946216210353e-16	2.6717632273502153e-17	1.835901805997304e-16	7.273656450097561e-18	3.3902941011689624e-16	1.9197819965585392e-17	nan	nan
53542.22500000053	8.506106057480456e-16	2.6755671764772536e-17	1.8394370340514113e-16	7.280604647464069e-18	3.396271786498181e-16	1.910497138566714e-17	nan	nan
