MJD	LT_IOO_B	LT_IOO_B_err	LT_IOO_V	LT_IOO_V_err	LT_IOO_g	LT_IOO_g_err	LT_IOO_i	LT_IOO_i_err	LT_IOO_r	LT_IOO_r_err	LT_IOO_u	LT_IOO_u_err	LT_IOO_z	LT_IOO_z_err	lascumbres_V	lascumbres_V_err	lascumbres_g'	lascumbres_g'_err	lascumbres_i'	lascumbres_i'_err	lascumbres_r'	lascumbres_r'_err
57236.36375000036	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.253074414167709e-16	2.3665197695076033e-17	nan	nan	1.4751417104266994e-16	2.559106446675897e-17	nan	nan
57236.41375000036	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.296001694369038e-16	2.376676350033207e-17	nan	nan	1.4928747103641992e-16	2.5247295781030703e-17	nan	nan
57236.46375000037	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.338910054217507e-16	2.3867600732041058e-17	nan	nan	1.5106859132173257e-16	2.4906823471771593e-17	nan	nan
57236.51375000037	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.381798236985739e-16	2.3967726049362505e-17	nan	nan	1.5285755961454272e-16	2.4569732245814872e-17	nan	nan
57236.56375000037	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.424664985141278e-16	2.406716813425454e-17	nan	nan	1.5465440371977845e-16	2.4236108705812707e-17	nan	nan
57236.613750000375	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.467509040322705e-16	2.416596724955835e-17	nan	nan	1.56459151531592e-16	2.3906041343390153e-17	nan	nan
57236.66375000038	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.510329143314531e-16	2.426417475280278e-17	nan	nan	1.5827183103364784e-16	2.357962052415226e-17	nan	nan
57236.71375000038	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.553124034022877e-16	2.4361852566145065e-17	nan	nan	1.6009247029938704e-16	2.3256938463525465e-17	nan	nan
57236.763750000384	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.595892451450736e-16	2.4459072602444166e-17	nan	nan	1.6192109749229367e-16	2.2938089192332107e-17	nan	nan
57236.81375000039	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	6.638633133673438e-16	2.4555916147623084e-17	nan	nan	1.6375774086620528e-16	2.2623168510895456e-17	nan	nan
