MJD	LT_IOO_B	LT_IOO_B_err	LT_IOO_V	LT_IOO_V_err	LT_IOO_g	LT_IOO_g_err	LT_IOO_i	LT_IOO_i_err	LT_IOO_r	LT_IOO_r_err	atlas_c	atlas_c_err	atlas_o	atlas_o_err
58066.237500000374	nan	nan	nan	nan	nan	nan	2.1912971559237035e-16	8.951064835160474e-18	nan	nan	nan	nan	3.9292385857228244e-16	1.827160757897424e-17
58066.28750000038	nan	nan	nan	nan	nan	nan	2.207876010315102e-16	8.988404800120607e-18	nan	nan	nan	nan	3.964487918328397e-16	1.836048796138197e-17
58066.33750000038	nan	nan	nan	nan	nan	nan	2.2244465459705485e-16	9.025600876251532e-18	nan	nan	nan	nan	3.999661152828366e-16	1.845705470897592e-17
58066.38750000038	nan	nan	nan	nan	nan	nan	2.241008370040151e-16	9.062673347153941e-18	nan	nan	nan	nan	4.034761732774836e-16	1.856189117984542e-17
58066.437500000386	nan	nan	nan	nan	nan	nan	2.2575610893384335e-16	9.09965041571366e-18	nan	nan	nan	nan	4.0697930997603395e-16	1.8675561795131232e-17
58066.48750000039	nan	nan	nan	nan	nan	nan	2.2741043103359076e-16	9.136567822238529e-18	nan	nan	nan	nan	4.104758693486238e-16	1.8798607528724927e-17
58066.53750000039	nan	nan	nan	nan	nan	nan	2.2906376391506597e-16	9.173468419962372e-18	nan	nan	nan	nan	4.139661826063231e-16	1.8931513951219397e-17
58066.587500000394	nan	nan	nan	nan	nan	nan	2.307160681539979e-16	9.210401708060449e-18	5.60164976220754e-16	8.092474577878782e-17	nan	nan	4.174503495927787e-16	1.9074229766659037e-17
58066.6375000004	nan	nan	nan	nan	nan	nan	2.3236730428919206e-16	9.247423322169594e-18	5.618820754977394e-16	8.009216335438368e-17	nan	nan	4.2092826707663224e-16	1.9226229658159312e-17
58066.6875000004	nan	nan	nan	nan	nan	nan	2.340174328216899e-16	9.28459448238466e-18	5.636044093358781e-16	7.926031488518303e-17	nan	nan	4.243998247615305e-16	1.938694778420279e-17
58066.7375000004	nan	nan	nan	nan	nan	nan	2.3566641421392914e-16	9.321981398754548e-18	5.65331993590318e-16	7.842924918535134e-17	nan	nan	4.278649121718439e-16	1.9555798183958616e-17
58066.787500000406	nan	nan	nan	nan	nan	nan	2.3731420888889704e-16	9.359654634336348e-18	5.670648441638735e-16	7.759901613492482e-17	nan	nan	4.313234186499683e-16	1.9732179808284537e-17
58066.83750000041	nan	nan	nan	nan	nan	nan	2.3896077722717817e-16	9.397688320362373e-18	5.688029770071536e-16	7.67696667116108e-17	nan	nan	4.347752333536231e-16	1.991548118615924e-17
58066.88750000041	nan	nan	nan	nan	nan	nan	2.4060607862500277e-16	9.436112350024642e-18	5.705464081187168e-16	7.594125302389084e-17	nan	nan	4.3822024525315977e-16	2.010508469647643e-17
58066.937500000415	nan	nan	nan	nan	nan	nan	2.4225007001179956e-16	9.474837893025882e-18	5.722951535452051e-16	7.511382834548692e-17	nan	nan	4.416583431288594e-16	2.0300370428660578e-17
58066.98750000042	nan	nan	nan	nan	nan	nan	2.4389270788981735e-16	9.51375996735153e-18	5.740492293814952e-16	7.428744715125021e-17	nan	nan	4.450894155682126e-16	2.0500719627319164e-17
58067.03750000042	nan	nan	nan	nan	nan	nan	2.455339487174854e-16	9.552777272396845e-18	5.75808651770837e-16	7.34621651545604e-17	nan	nan	4.485133509632396e-16	2.0705517726007366e-17
58067.08750000042	1.0414232849457773e-15	1.5448241606385647e-16	nan	nan	nan	nan	2.471737489085021e-16	9.591792726570893e-18	5.77573436904993e-16	7.263803934628677e-17	nan	nan	4.51930037507741e-16	2.0914156983354222e-17
58067.13750000043	1.043923000814536e-15	1.5268728918748245e-16	nan	nan	nan	nan	2.488120648309235e-16	9.630713943457988e-18	5.793436010243985e-16	7.18151280354052e-17	nan	nan	4.553393631946074e-16	2.1126038741202e-17
58067.18750000043	1.0464240135439225e-15	1.5089133735335493e-16	nan	nan	nan	nan	2.5044885280624134e-16	9.66945364983006e-18	5.81119160418288e-16	7.099349089134231e-17	nan	nan	4.587412158130895e-16	2.1340575328649502e-17
58067.23750000043	1.0489262836792452e-15	1.4909467990051287e-16	nan	nan	nan	nan	2.520840691084734e-16	9.70793004883105e-18	5.829001314248536e-16	7.017318898813723e-17	nan	nan	4.621354829460809e-16	2.155719163938247e-17
58067.287500000435	1.051429771382158e-15	1.4729743949833114e-16	nan	nan	nan	nan	2.537176699632413e-16	9.746067131723401e-18	5.846865304313833e-16	6.935428485050852e-17	nan	nan	4.655220519673807e-16	2.177532641104962e-17
58067.33750000044	1.0539344364279956e-15	1.454997422673823e-16	nan	nan	nan	nan	2.553496115468562e-16	9.783794941390867e-18	5.864783738744125e-16	6.853684250190865e-17	nan	nan	4.689008100389846e-16	2.1994433236300645e-17
58067.38750000044	1.0564402382030899e-15	1.4370171790673677e-16	nan	nan	nan	nan	2.569798499853999e-16	9.821049790776586e-18	5.882756782398691e-16	6.772092751469216e-17	nan	nan	4.722716441083253e-16	2.2213981334774767e-17
58067.437500000444	1.0589471357020833e-15	1.4190349982818435e-16	nan	nan	nan	nan	2.586083413538043e-16	9.857774439174659e-18	5.900784600632135e-16	6.690660706245986e-17	nan	nan	4.756344409055542e-16	2.2433456114497987e-17
58067.48750000045	1.0614550875251956e-15	1.4010522529782883e-16	nan	nan	nan	nan	2.6023504167493454e-16	9.893918229148414e-18	5.918867359296021e-16	6.609394997472726e-17	nan	nan	4.7898908694079e-16	2.2652359549634822e-17
58067.53750000045	1.0639640518755128e-15	1.383070355855969e-16	nan	nan	nan	nan	2.6185990691866404e-16	9.929437186567235e-18	5.937005224740137e-16	6.52830267939934e-17	nan	nan	4.8233546850139e-16	2.2870210399822503e-17
58067.58750000045	1.0664739865562352e-15	1.36509076123207e-16	nan	nan	nan	nan	2.6348289300095573e-16	9.96429408605949e-18	5.955198363814211e-16	6.447390983535004e-17	nan	nan	4.85673471649168e-16	2.308654429445142e-17
58067.637500000455	1.0689848489679088e-15	1.347114966712305e-16	nan	nan	nan	nan	2.6510395578294024e-16	9.998458483868367e-18	5.973446943869194e-16	6.366667324874213e-17	nan	nan	4.890029822176887e-16	2.3300913702959034e-17
58067.68750000046	1.0714965961056503e-15	1.3291445149588874e-16	nan	nan	nan	nan	2.667230510699917e-16	1.0031906719867127e-17	5.991751132758884e-16	6.286139308400679e-17	nan	nan	4.923238858094651e-16	2.3512887810347503e-17
58067.73750000046	1.0740091845563445e-15	1.3111809955631415e-16	nan	nan	nan	nan	2.683401346108018e-16	1.006462189022124e-17	6.010111098841403e-16	6.205814735882314e-17	nan	nan	4.956360677932359e-16	2.3722052314868176e-17
58067.787500000464	1.0765225704958412e-15	1.2932260470304793e-16	nan	nan	nan	nan	2.6995516209645977e-16	1.0096593791905091e-17	6.028527010980631e-16	6.125701612970817e-17	nan	nan	4.989394133011858e-16	2.392800916300825e-17
58067.83750000047	1.079036709686113e-15	1.2752813588862495e-16	nan	nan	nan	nan	2.715680891595213e-16	1.012781884004338e-17	6.046999038547748e-16	6.04580815661972e-17	nan	nan	5.022338072261652e-16	2.413037623490082e-17
58067.88750000047	1.0815515574724077e-15	1.25734867391164e-16	nan	nan	nan	nan	2.73178871373087e-16	1.0158299958815638e-17	6.065527351422799e-16	5.966142802834665e-17	nan	nan	5.055191342189384e-16	2.432878699171797e-17
