MJD	ZTF_g	ZTF_g_err	ZTF_i	ZTF_i_err	ZTF_r	ZTF_r_err	lascumbres_u'	lascumbres_u'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
59088.45000000014	3.8800002554378217e-16	3.049986281333437e-17	1.0571213182687895e-16	1.1920851750277435e-17	2.065546467259354e-16	3.740212465474595e-17	7.586890718386885e-16	3.519504798537707e-17	1.0766652346057883e-15	1.1850246798289795e-16	4.0591588853819666e-16	4.8992108610867664e-17	1.7124533084979896e-16	1.710740861863973e-17	2.6304978905223795e-16	2.6092801611409083e-17	2.511897479018565e-16	2.063164680778424e-17	5.021257266967129e-16	8.856120960914144e-17
59088.500000000146	3.96686121152487e-16	3.107068300169515e-17	1.0811430363563649e-16	1.2277267863396039e-17	2.103300179218906e-16	3.701257344353043e-17	7.689304407260333e-16	4.016648672360349e-17	1.084622223682193e-15	1.1759839708731427e-16	4.099966330418456e-16	4.855374867871359e-17	1.7124533068192714e-16	1.710740860223123e-17	2.630497891434344e-16	2.6092800763009425e-17	2.511897486232826e-16	2.063164665209588e-17	5.182956657751945e-16	9.524743726298594e-17
59088.55000000015	4.053884577139814e-16	3.163687657969554e-17	1.105256232448948e-16	1.2624033375124975e-17	2.1412024826031387e-16	3.663230627133062e-17	7.79252570040291e-16	4.5119332440259234e-17	1.0926085268551795e-15	1.1685838546394143e-16	4.140981136384256e-16	4.817473049743198e-17	1.712453305129677e-16	1.710740859670315e-17	2.6304978923195067e-16	2.6092799941628912e-17	2.5118974934145166e-16	2.0631646536104512e-17	5.347036396565383e-16	1.0208602134571811e-16
59088.60000000015	4.141052344916504e-16	3.2196996532119163e-17	1.1294581259099955e-16	1.2960590042589844e-17	2.1792538332021353e-16	3.6261448450970676e-17	7.89645672460435e-16	4.993351897252684e-17	1.1006192377959755e-15	1.1626896038871232e-16	4.1821794950605237e-16	4.7847672868256624e-17	1.712453303429213e-16	1.7107408602054666e-17	2.630497893177865e-16	2.6092799147269083e-17	2.5118975005636435e-16	2.0631646459811728e-17	5.513273818931525e-16	1.089119537548851e-16
59088.650000000154	4.228346510750627e-16	3.274980400956139e-17	1.1537459382565733e-16	1.3286460432538162e-17	2.2174546880615406e-16	3.590012028151671e-17	8.000999650406482e-16	5.453674052061348e-17	1.1086494498704303e-15	1.1581653691108228e-16	4.2235376051556933e-16	4.7565379173834813e-17	1.7124533017178723e-16	1.7107408618285898e-17	2.630497894009419e-16	2.6092798379929788e-17	2.5118975076802126e-16	2.0631646423215225e-17	5.681447101936062e-16	1.1560619189176651e-16
59088.70000000016	4.315749073275497e-16	3.329424605208766e-17	1.1781168930815856e-16	1.3601234588110856e-17	2.2558055054853133e-16	3.55484364401042e-17	8.106056662031758e-16	5.888331114742465e-17	1.1166942556257726e-15	1.154876018223187e-16	4.2650316692267565e-16	4.732092717336495e-17	1.7124532999956613e-16	1.7107408645397426e-17	2.630497894814169e-16	2.609279763961056e-17	2.511897514764207e-16	2.0631646426315535e-17	5.851335099872535e-16	1.2208262436842467e-16
59088.75000000016	4.4032420333380784e-16	3.382943551251789e-17	1.2025682159760513e-16	1.390455921058178e-17	2.294306711456279e-16	3.5206502125914447e-17	8.211529927303196e-16	6.294303272608012e-17	1.1247487462772272e-15	1.1526888396180748e-16	4.3066378906003633e-16	4.710774637386061e-17	1.7124532982625763e-16	1.710740868338879e-17	2.6304978955921154e-16	2.6092796926312337e-17	2.5118975218156376e-16	2.0631646469113008e-17	6.022717180124654e-16	1.2827865929205902e-16
59088.80000000016	4.490807393475186e-16	3.4354633027426236e-17	1.2270971344514375e-16	1.4196128842830962e-17	2.332957457314143e-16	3.487429302017455e-17	8.317321567549074e-16	6.669512780729951e-17	1.1328080111944663e-15	1.1514750706663617e-16	4.3483324702936017e-16	4.691968260756714e-17	1.7124532965186188e-16	1.710740873226022e-17	2.6304978963432584e-16	2.609279624003419e-17	2.5118975288345014e-16	2.0631646551606945e-17	6.195373059200565e-16	1.3414863751540635e-16
59088.850000000166	4.578427157389168e-16	3.486923085869295e-17	1.2517008778619988e-16	1.4475678651877716e-17	2.3717552551492305e-16	3.455162000325326e-17	8.423333627485985e-16	7.0124797940492e-17	1.1408671373878465e-15	1.1511112281184777e-16	4.3900916039339484e-16	4.6751050199821725e-17	1.7124532947637898e-16	1.7107408792011127e-17	2.630497897067595e-16	2.6092795580776896e-17	2.511897535820797e-16	2.063164667379716e-17	6.369082638834934e-16	1.396592708963501e-16
59088.90000000017	4.666083329424324e-16	3.5372738419314453e-17	1.2763766773271835e-16	1.4742978494163845e-17	2.410697510336225e-16	3.4238276733494585e-17	8.529468045073347e-16	7.32211932820036e-17	1.148921208994404e-15	1.1514802302886497e-16	4.431891478678319e-16	4.659667268014228e-17	1.7124532929980906e-16	1.7107408862642102e-17	2.6304978977651274e-16	2.6092794948541064e-17	2.5118975427745187e-16	2.0631646835683473e-17	6.543625842074682e-16	1.4478648331102523e-16
59088.95000000017	4.753759035244402e-16	3.586470019315133e-17	1.3011217656540595e-16	1.4997828014230142e-17	2.449781629460774e-16	3.3934050368508645e-17	8.635626621333036e-16	7.597617074495994e-17	1.1569653067635483e-15	1.1524723123542134e-16	4.473708270130813e-16	4.645191336810994e-17	1.7124532912215208e-16	1.7107408944152906e-17	2.630497898435856e-16	2.6092794343325624e-17	2.5118975496956707e-16	2.063164703726695e-17	6.718782449264175e-16	1.4951321269401213e-16
59089.000000000175	4.841441884951371e-16	3.634447742155114e-17	1.3259333772597258e-16	1.524005257976777e-17	2.489005020296236e-16	3.36387219365583e-17	8.741710990127367e-16	7.838350953248884e-17	1.164994507542444e-15	1.1539857451113636e-16	4.515518139258843e-16	4.631269737118878e-17	1.7124532894340786e-16	1.7107409036542954e-17	2.630497899079777e-16	2.6092793765132116e-17	2.511897556584257e-16	2.0631647278545286e-17	6.894331933845754e-16	1.5382787219796073e-16
59089.05000000018	4.929120609108254e-16	3.681144747347673e-17	1.3508087480938612e-16	1.5469499896667923e-17	2.5283650917806366e-16	3.335206673423021e-17	8.847622587888746e-16	8.043840142828371e-17	1.1730038837610143e-15	1.1559273739502701e-16	4.5572972293074405e-16	4.617552659169549e-17	1.7124532876357681e-16	1.7107409139813423e-17	2.630497899696895e-16	2.609279321395947e-17	2.5118975634402634e-16	2.0631647559519895e-17	7.070053297891165e-16	1.5772326705956242e-16
